parameter,reaction,metabolite
km_substrate_ASNt2r,ASNt2r,asn__L_e
km_product_ASNt2r,ASNt2r,asn__L_c
km_substrate1_ASPCT,ASPCT,cbp_c
km_product1_ASPCT,ASPCT,pi_c
km_substrate2_ASPCT,ASPCT,asp__L_c
km_product2_ASPCT,ASPCT,cbasp_c
km_substrate1_ASPGLU2m,ASPGLU2m,glu__L_c
km_product1_ASPGLU2m,ASPGLU2m,glu__L_m
km_substrate2_ASPGLU2m,ASPGLU2m,asp__L_m
km_product2_ASPGLU2m,ASPGLU2m,asp__L_c
km_substrate1_ASPTA,ASPTA,asp__L_c
km_product1_ASPTA,ASPTA,oaa_c
km_substrate2_ASPTA,ASPTA,akg_c
km_product2_ASPTA,ASPTA,glu__L_c
km_substrate1_ASPTAm,ASPTAm,oaa_m
km_product1_ASPTAm,ASPTAm,asp__L_m
km_substrate2_ASPTAm,ASPTAm,glu__L_m
km_product2_ASPTAm,ASPTAm,akg_m
km_substrate_ASPt2r,ASPt2r,asp__L_e
km_product_ASPt2r,ASPt2r,asp__L_c
km_substrate_ATPM,ATPM,atp_c
km_product1_ATPM,ATPM,pi_c
km_product2_ATPM,ATPM,adp_c
km_substrate_ATPM_g,ATPM_g,atp_c
km_product1_ATPM_g,ATPM_g,pi_c
km_product2_ATPM_g,ATPM_g,adp_c
km_substrate_ATPM_v,ATPM_v,atp_c
km_product1_ATPM_v,ATPM_v,pi_c
km_product2_ATPM_v,ATPM_v,adp_c
km_substrate_ATPS,ATPS,atp_c
km_product1_ATPS,ATPS,pi_c
km_product2_ATPS,ATPS,adp_c
km_substrate1_ATPS3m,ATPS3m,pi_m
km_substrate2_ATPS3m,ATPS3m,adp_m
km_product_ATPS3m,ATPS3m,atp_m
km_substrate1_ATPtm,ATPtm,atp_m
km_product1_ATPtm,ATPtm,atp_c
km_substrate2_ATPtm,ATPtm,adp_c
km_product2_ATPtm,ATPtm,adp_m
km_substrate_ATPtrm,ATPtrm,atp_c
km_product_ATPtrm,ATPtrm,atp_erm
km_substrate_CA2t3ec,CA2t3ec,ca2_e
km_product_CA2t3ec,CA2t3ec,ca2_c
km_substrate1_CBPS,CBPS,hco3_c
km_product1_CBPS,CBPS,adp_c
km_substrate2_CBPS,CBPS,gln__L_c
km_product2_CBPS,CBPS,pi_c
km_substrate3_CBPS,CBPS,atp_c
km_product3_CBPS,CBPS,glu__L_c
km_product4_CBPS,CBPS,cbp_c
km_substrate_CBPt,CBPt,cbp_e
km_product_CBPt,CBPt,cbp_c
km_substrate_CHORM,CHORM,chor_c
km_product_CHORM,CHORM,pphn_c
km_substrate_CHORS,CHORS,_3psme_c
km_product1_CHORS,CHORS,pi_c
km_product2_CHORS,CHORS,chor_c
km_substrate_CITt,CITt,cit_e
km_product_CITt,CITt,cit_c
km_substrate1_CITtam,CITtam,mal__L_m
km_product1_CITtam,CITtam,mal__L_c
km_substrate2_CITtam,CITtam,cit_c
km_product2_CITtam,CITtam,cit_m
km_substrate1_CITtbm,CITtbm,pep_m
km_product1_CITtbm,CITtbm,pep_c
km_substrate2_CITtbm,CITtbm,cit_c
km_product2_CITtbm,CITtbm,cit_m
km_substrate1_CITtcm,CITtcm,icit_m
km_product1_CITtcm,CITtcm,icit_c
km_substrate2_CITtcm,CITtcm,cit_c
km_product2_CITtcm,CITtcm,cit_m
km_substrate_CMPt6,CMPt6,cmp_e
km_product_CMPt6,CMPt6,cmp_c
km_substrate_CO2t,CO2t,co2_c
km_product_CO2t,CO2t,co2_e
km_substrate_CO2tgm,CO2tgm,co2_c
km_product_CO2tgm,CO2tgm,co2_gm
km_substrate_CO2tm,CO2tm,co2_c
km_product_CO2tm,CO2tm,co2_m
km_substrate_COAtrm,COAtrm,coa_c
km_product_COAtrm,COAtrm,coa_erm
km_substrate1_CSm,CSm,oaa_m
km_product1_CSm,CSm,coa_m
km_substrate2_CSm,CSm,accoa_m
km_product2_CSm,CSm,cit_m
km_substrate1_CTPS1,CTPS1,utp_c
km_product1_CTPS1,CTPS1,pi_c
km_substrate2_CTPS1,CTPS1,nh4_c
km_product2_CTPS1,CTPS1,ctp_c
km_substrate3_CTPS1,CTPS1,atp_c
km_product3_CTPS1,CTPS1,adp_c
km_substrate1_CTPS2,CTPS2,utp_c
km_product1_CTPS2,CTPS2,pi_c
km_substrate2_CTPS2,CTPS2,gln__L_c
km_product2_CTPS2,CTPS2,glu__L_c
km_substrate3_CTPS2,CTPS2,atp_c
km_product3_CTPS2,CTPS2,ctp_c
km_product4_CTPS2,CTPS2,adp_c
km_substrate_CTPtrm,CTPtrm,ctp_c
km_product_CTPtrm,CTPtrm,ctp_erm
km_substrate_CU2TRA,CU2TRA,h_e
km_product_CU2TRA,CU2TRA,h_c
km_substrate_CYSt2r,CYSt2r,cys__L_e
km_product_CYSt2r,CYSt2r,cys__L_c
km_substrate1_DDPA,DDPA,pep_c
km_product1_DDPA,DDPA,pi_c
km_substrate2_DDPA,DDPA,e4p_c
km_product2_DDPA,DDPA,_2dda7p_c
km_substrate1_DDPAm,DDPAm,pep_m
km_product1_DDPAm,DDPAm,pi_m
km_substrate2_DDPAm,DDPAm,e4p_m
km_product2_DDPAm,DDPAm,_2dda7p_m
km_substrate1_DHFS,DHFS,glu__L_c
km_product1_DHFS,DHFS,pi_c
km_substrate2_DHFS,DHFS,dhpt_c
km_product2_DHFS,DHFS,dhf_c
km_substrate3_DHFS,DHFS,atp_c
km_product3_DHFS,DHFS,adp_c
km_substrate_DHPTtm,DHPTtm,dhpt_c
km_product_DHPTtm,DHPTtm,dhpt_m
km_substrate_DHQS,DHQS,_2dda7p_c
km_product1_DHQS,DHQS,pi_c
km_product2_DHQS,DHQS,_3dhq_c
km_substrate_DHQTi,DHQTi,_3dhq_c
km_product_DHQTi,DHQTi,_3dhsk_c
km_substrate1_D_LACDcm,D_LACDcm,lac__D_c
km_product1_D_LACDcm,D_LACDcm,focytc_m
km_substrate2_D_LACDcm,D_LACDcm,ficytc_m
km_product2_D_LACDcm,D_LACDcm,pyr_c
km_substrate1_D_LACDm,D_LACDm,lac__D_m
km_product1_D_LACDm,D_LACDm,focytc_m
km_substrate2_D_LACDm,D_LACDm,ficytc_m
km_product2_D_LACDm,D_LACDm,pyr_m
km_substrate_D_LACt2,D_LACt2,lac__D_e
km_product_D_LACt2,D_LACt2,lac__D_c
km_substrate1_D_LACt2m,D_LACt2m,pyr_m
km_product1_D_LACt2m,D_LACt2m,pyr_c
km_substrate2_D_LACt2m,D_LACt2m,lac__D_c
km_product2_D_LACt2m,D_LACt2m,lac__D_m
km_substrate_D_LACtm,D_LACtm,lac__D_c
km_product_D_LACtm,D_LACtm,lac__D_m
km_substrate_E4Ptm,E4Ptm,e4p_c
km_product_E4Ptm,E4Ptm,e4p_m
km_substrate_ENO,ENO,_2pg_c
km_product_ENO,ENO,pep_c
km_substrate_ETOHt,ETOHt,etoh_c
km_product_ETOHt,ETOHt,etoh_e
km_substrate_ETOHtm,ETOHtm,etoh_c
km_product_ETOHtm,ETOHtm,etoh_m
km_substrate_FBA,FBA,fdp_c
km_product1_FBA,FBA,g3p_c
km_product2_FBA,FBA,dhap_c
km_substrate_FBA3,FBA3,s17bp_c
km_product1_FBA3,FBA3,e4p_c
km_product2_FBA3,FBA3,dhap_c
km_substrate_FBP,FBP,fdp_c
km_product1_FBP,FBP,pi_c
km_product2_FBP,FBP,f6p_c
km_substrate1_FERCOXOXI,FERCOXOXI,o2_m
km_substrate2_FERCOXOXI,FERCOXOXI,focytc_m
km_substrate1_FRD2m,FRD2m,succ_m
km_product1_FRD2m,FRD2m,nadh_m
km_substrate2_FRD2m,FRD2m,nad_m
km_product2_FRD2m,FRD2m,fum_m
km_substrate_FRDPtm,FRDPtm,frdp_c
km_product_FRDPtm,FRDPtm,frdp_m
km_substrate_FUM,FUM,fum_c
km_product_FUM,FUM,mal__L_c
km_substrate_FUMm,FUMm,fum_m
km_product_FUMm,FUMm,mal__L_m
km_substrate_FUMtr,FUMtr,fum_e
km_product_FUMtr,FUMtr,fum_c
km_substrate_G1Pt,G1Pt,g1p_e
km_product_G1Pt,G1Pt,g1p_c
km_substrate_G6PDA,G6PDA,gam6p_c
km_product1_G6PDA,G6PDA,nh4_c
km_product2_G6PDA,G6PDA,f6p_c
km_substrate1_G6PDH2r,G6PDH2r,nadp_c
km_product1_G6PDH2r,G6PDH2r,nadph_c
km_substrate2_G6PDH2r,G6PDH2r,g6p_c
km_product2_G6PDH2r,G6PDH2r,_6pgl_c
km_substrate_GAM6Pt,GAM6Pt,gam6p_e
km_product_GAM6Pt,GAM6Pt,gam6p_c
km_substrate1_GAPD,GAPD,pi_c
km_product1_GAPD,GAPD,nadh_c
km_substrate2_GAPD,GAPD,nad_c
km_product2_GAPD,GAPD,_13dpg_c
km_substrate3_GAPD,GAPD,g3p_c
km_substrate_GCALDt,GCALDt,gcald_e
km_product_GCALDt,GCALDt,gcald_c
km_substrate1_GCC2cm,GCC2cm,nad_m
km_product1_GCC2cm,GCC2cm,nadh_m
km_substrate2_GCC2cm,GCC2cm,dhlam_m
km_product2_GCC2cm,GCC2cm,lpam_m
km_substrate1_GF6PTA,GF6PTA,gln__L_c
km_product1_GF6PTA,GF6PTA,glu__L_c
km_substrate2_GF6PTA,GF6PTA,f6p_c
km_product2_GF6PTA,GF6PTA,gam6p_c
km_substrate1_GK1,GK1,gmp_c
km_product1_GK1,GK1,gdp_c
km_substrate2_GK1,GK1,atp_c
km_product2_GK1,GK1,adp_c
km_substrate_GLCt1,GLCt1,glc__D_e
km_product_GLCt1,GLCt1,glc__D_c
km_substrate1_GLNS,GLNS,nh4_c
km_product1_GLNS,GLNS,pi_c
km_substrate2_GLNS,GLNS,glu__L_c
