parameter,reaction,metabolite
km_product2_PYK,PYK,atp_c
km_substrate_PYRt2,PYRt2,pyr_e
km_product_PYRt2,PYRt2,pyr_c
km_substrate_RPE,RPE,ru5p__D_c
km_product_RPE,RPE,xu5p__D_c
km_substrate_RPI,RPI,r5p_c
km_product_RPI,RPI,ru5p__D_c
km_substrate_SUCCt2_2,SUCCt2_2,succ_e
km_product_SUCCt2_2,SUCCt2_2,succ_c
km_substrate_SUCCt3,SUCCt3,succ_c
km_product_SUCCt3,SUCCt3,succ_e
km_substrate1_SUCDi,SUCDi,succ_c
km_product1_SUCDi,SUCDi,q8h2_c
km_substrate2_SUCDi,SUCDi,q8_c
km_product2_SUCDi,SUCDi,fum_c
km_substrate1_SUCOAS,SUCOAS,succ_c
km_product1_SUCOAS,SUCOAS,succoa_c
km_substrate2_SUCOAS,SUCOAS,coa_c
km_product2_SUCOAS,SUCOAS,pi_c
km_substrate3_SUCOAS,SUCOAS,atp_c
km_product3_SUCOAS,SUCOAS,adp_c
km_substrate1_TALA,TALA,s7p_c
km_product1_TALA,TALA,f6p_c
km_substrate2_TALA,TALA,g3p_c
km_product2_TALA,TALA,e4p_c
km_substrate1_THD2,THD2,nadp_c
km_product1_THD2,THD2,nadph_c
km_substrate2_THD2,THD2,nadh_c
km_product2_THD2,THD2,nad_c
km_substrate1_TKT1,TKT1,xu5p__D_c
km_product1_TKT1,TKT1,s7p_c
km_substrate2_TKT1,TKT1,r5p_c
km_product2_TKT1,TKT1,g3p_c
km_substrate1_TKT2,TKT2,xu5p__D_c
km_product1_TKT2,TKT2,g3p_c
km_substrate2_TKT2,TKT2,e4p_c
km_product2_TKT2,TKT2,f6p_c
km_substrate_TPI,TPI,dhap_c
km_product_TPI,TPI,g3p_c
